 Duration; Assigned task;Category;Type
4380;Data Warehouse;Programming;Levelling
7800;Aprendizaje por refuerzo;Programming;Master
3720;Arquitecturas de bases de datos no tradicionales;Miscellany;Master
7800;Deep Learning;Programming;Master
7320;Diseño y programación orientada a objetos;Programming;Levelling
7680;Diseño y uso de base de datos analíticas;Miscellany;Levelling
5160;Estadística avanzada;Miscellany;Master
2820;Fundamentos de la ciencia de datos;Miscellany;Master
4860;Fundamentos de programación con Python;Programming;Levelling
2940;Fundamentos de redes y arquitecturas;Miscellany;Levelling
5760;Minería de datos;Programming;Levelling
7800;Modelos avanzados de minería de datos;Programming;Master
5400;Programación en scripting;Programming;Levelling
7440;Programación para la ciencia de datos;Programming;Levelling
4560;Tipología y ciclo de vida de los datos;Miscellany;Master
2940;Visualización de datos;Miscellany;Master